,code,hwlwmc,spfwfljc,desc
1019,1040105010000000000,床褥单,纺织产品,包括棉制床褥单、化学纤维制床褥单、麻制床单。不包括针织或钩编的床上用品（详见104011302）
1020,1040105020000000000,被面,纺织产品,包括丝绸被面、其他被面
1021,1040105030000000000,枕套,纺织产品,包括棉制枕套、化学纤维制枕套、丝绸枕套、其他枕套。不包括针织或钩编的床上用品（详见104011302）。
1022,1040105040000000000,被罩,纺织产品,包括棉制被罩、化学纤维制被罩、麻制被罩、其他被罩。不包括针织或钩编的床上用品（详见104011302）。
1023,1040105050000000000,床罩,纺织产品,包括棉制床罩、化学纤维制床罩、麻制床罩、丝制床罩、其他床罩。不包括针织或钩编的床上用品（详见104011302）。
1024,1040105060000000000,毯子,纺织产品,包括棉制毯、毛制毯、麻制毯、其他毯子
1025,1040105070000000000,寝具及类似填充用品,纺织产品,指以各种纺织材料作为面料（不论是否包面），用丝棉、化纤棉、兽毛等填充的棉被、枕头、靠垫、座垫等寝具及类似用品。包括羽绒（毛）、兽毛制寝具及类似填充制品、棉制寝具及类似填充制品、丝制寝具及类似填充制品、其他寝具及类似填充用品
1026,1040105080000000000,毛巾被,纺织产品,包括棉制毛巾被、化纤制毛巾被、麻制毛巾被、丝及绢丝制毛巾被，花式品种分单色、多色、条格、印花、喷花、提花毛巾被等
1027,1040105090000000000,枕巾,纺织产品,包括棉制枕巾、化纤制枕巾、麻制枕巾、丝制枕巾、其他枕巾
1028,1040105990000000000,其他床上用织物制品,纺织产品,
1029,1040106000000000000,日用织物制品,纺织产品,指餐桌、盥洗及厨房用织物制品，装饰织物制品、地毯和挂毯，包括台布（桌布）、毛巾、餐桌、盥洗及厨房用织物制品
1030,1040106010000000000,台布（桌布）,纺织产品,包括棉制台布、化学纤维制台布、毛制台布、丝制台布、麻制台布、其他纺织材料制台布。不包括针织或钩编台布（详见104011303）。
1031,1040106020000000000,毛巾,纺织产品,包括面巾、方巾、浴巾、其他毛巾
1032,1040106030000000000,餐桌、盥洗及厨房用织物制品,纺织产品,包括棉制餐桌、盥洗织物制品、化学纤维制餐桌、盥洗织物制品、亚麻制餐桌、盥洗用织物制品、丝制盥洗及厨房织物制品、其他餐桌、盥洗及厨房用织物制品。不包括针织或钩编相关餐桌用制品（详见104011304）。
1033,1040106040000000000,窗帘及类似品,纺织产品,包括棉制窗帘及类似品、合成纤维制窗帘及类似品、丝制非针织非钩编窗帘、毛制窗帘及类似品、其他纺织材料制窗帘及类似品。不包括针织或钩编窗帘及类似品（详见104011305）。
1034,1040106050000000000,垫子套,纺织产品,包括棉制垫子套、丝制垫子套、合成纤维制垫子套、其他垫子套。不包括针织或钩编制品（详见1040113）。
1035,1040106060000000000,安全用织物制品,纺织产品,救生衣、安全带、其他安全用织物制品
1036,1040106990000000000,其他纺织制品,纺织产品,包括擦地布、抹布及类似擦拭用布、其他未列明纺织制品
1037,1040107000000000000,毡呢、包装用织物制品,纺织产品,包括毡呢、包装用织物制品
1038,1040107010000000000,毡呢,纺织产品,包括毛制毡呢、其他毡呢，不论是否浸渍、涂布、包覆或层压
1039,1040107020000000000,包装用织物制品,纺织产品,指主要包括散装货物的棉及化学纤维材料制，具有不同尺寸及形状的物品储运袋；也包括邮袋和邮寄货样用的小袋子，以及袋泡茶袋，包括棉制包装袋、化学纤维制包装袋、麻袋
1040,1040108000000000000,油苫布、天篷、遮阳篷及类似品,纺织产品,包括油苫布、天篷、遮阳篷、帐篷、篷房、风帆、充气褥垫、野营用织物制品、降落伞、旗帜及类似品
1041,1040108010000000000,油苫布,纺织产品,包括棉制油苫布、合成纤维制油苫布、其他油苫布
1042,1040108020000000000,天篷,纺织产品,包括棉制天篷、合成纤维制天篷、其他天篷
1043,1040108030000000000,遮阳篷,纺织产品,包括棉制遮阳篷、合成纤维制遮阳篷、其他遮阳篷
1044,1040108040000000000,帐篷,纺织产品,包括棉制帐篷、合成纤维制帐篷、其他帐篷
1045,1040108050000000000,篷房,纺织产品,包括棉制篷房、合成纤维制篷房、其他篷房
1046,1040108060000000000,风帆,纺织产品,包括棉制风帆、合成纤维制风帆、其他风帆
1047,1040108070000000000,充气褥垫,纺织产品,包括棉制充气褥垫、化纤制充气褥垫、其他充气褥垫
1048,1040108080000000000,野营用织物制品,纺织产品,包括棉制野营用织物制品、化纤制野营用织物制品、其他野营用织物制品。不包括背包、背囊及类似容器（详见104030302），装有衬垫的睡袋及填充褥垫、枕头及座垫等（详见104010507），野营用帐篷（详见104010804）。
1049,1040108090000000000,降落伞、旗帜及类似品,纺织产品,包括旋翼降落伞及其零件、附件、锦旗、三角旗、横幅及其他娱乐或节日用旗布
1050,1040109000000000000,纤维纺制线、绳、索、缆,纺织产品,包括纤维纺制绳、缆、网类制品、吊装绳索具、绳梯类制品。
1051,1040109010000000000,纤维纺制绳、缆,纺织产品,包括麻纤维纺制绳、缆、合成纤维纺制绳、缆、龙舌兰类纤维纺制绳、缆、蕉麻等硬质（叶）纤维纺绳、缆、其他合成纤维纺制绳、缆
